Delito,SubDelito,Fecha,Victima,SubVictima,Edad,Sexo,Nacionalidad,Provincia,Canton,Distrito,
ASALTO,ARMA BLANCA,2024-04-22,00:00:00 - 02:59:59,PERSONA,GUARDA [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,LIMON,SIQUIRRES,
ASALTO,ARMA BLANCA,2024-04-23,06:00:00 - 08:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,SAN JOSE,SAN JOSE,
ASALTO,ARMA BLANCA,2024-05-03,06:00:00 - 08:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,MUJER,COSTA RICA,PUNTARENAS,PUNTARENAS,
ASALTO,ARMA BLANCA,2024-05-02,15:00:00 - 17:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,MUJER,COSTA RICA,ALAJUELA,POAS,
ASALTO,ARMA BLANCA,2024-05-05,00:00:00 - 02:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,SAN JOSE,SAN JOSE,
ASALTO,ARMA BLANCA,2024-05-05,00:00:00 - 02:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,SAN JOSE,DESCONOCIDO,
ASALTO,ARMA BLANCA,2024-05-03,21:00:00 - 23:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,SAN JOSE,PEREZ ZELEDON,
ASALTO,ARMA BLANCA,2024-05-04,18:00:00 - 20:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,NICARAGUA,GUANACASTE,LIBERIA,
ASALTO,ARMA BLANCA,2024-05-10,21:00:00 - 23:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,NICARAGUA,SAN JOSE,SAN JOSE,
ASALTO,ARMA BLANCA,2024-05-11,06:00:00 - 08:59:59,PERSONA,TAXISTA [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,SAN JOSE,SAN JOSE,
ASALTO,ARMA BLANCA,2024-05-14,18:00:00 - 20:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,CARTAGO,CARTAGO,
ASALTO,ARMA BLANCA,2024-05-17,21:00:00 - 23:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,Desconocido,HEREDIA,BELEN,
ASALTO,ARMA BLANCA,2024-05-16,12:00:00 - 14:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,EL SALVADOR,SAN JOSE,SAN JOSE,
ASALTO,ARMA BLANCA,2024-04-05,18:00:00 - 20:59:59,PERSONA,MENOR DE EDAD [PERSONA],Menor de edad,HOMBRE,Desconocido,SAN JOSE,SAN JOSE,
ASALTO,ARMA BLANCA,2024-04-08,21:00:00 - 23:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,MUJER,COSTA RICA,ALAJUELA,ALAJUELA,
ASALTO,ARMA BLANCA,2024-04-13,18:00:00 - 20:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,SAN JOSE,SAN JOSE,
ASALTO,ARMA BLANCA,2024-04-13,00:00:00 - 02:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,PUNTARENAS,QUEPOS,
ASALTO,ARMA BLANCA,2024-04-23,21:00:00 - 23:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,NICARAGUA,SAN JOSE,SAN JOSE,
ASALTO,ARMA BLANCA,2024-04-25,15:00:00 - 17:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,CARTAGO,LA UNION,
ASALTO,ARMA BLANCA,2024-04-25,18:00:00 - 20:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,GUANACASTE,CANAS,
ASALTO,ARMA BLANCA,2024-04-27,03:00:00 - 05:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,PUNTARENAS,PUNTARENAS,
ASALTO,ARMA BLANCA,2024-04-26,06:00:00 - 08:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,MUJER,COSTA RICA,SAN JOSE,SAN JOSE,
ASALTO,ARMA BLANCA,2024-04-29,12:00:00 - 14:59:59,PERSONA,MENOR DE EDAD [PERSONA],Menor de edad,HOMBRE,COSTA RICA,LIMON,POCOCI,
ASALTO,ARMA BLANCA,2024-04-29,00:00:00 - 02:59:59,PERSONA,TURISTA/EXTRANJERO [PERSONA],Mayor de edad,HOMBRE,ESTADOS UNIDOS,PUNTARENAS,GARABITO,
ASALTO,ARMA BLANCA,2024-05-04,03:00:00 - 05:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,SAN JOSE,SAN JOSE,
ASALTO,ARMA BLANCA,2024-05-04,09:00:00 - 11:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,MUJER,COSTA RICA,SAN JOSE,SAN JOSE,
ASALTO,ARMA BLANCA,2024-05-03,21:00:00 - 23:59:59,PERSONA,TAXISTA [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,ALAJUELA,ALAJUELA,
ASALTO,ARMA BLANCA,2024-05-05,12:00:00 - 14:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,MUJER,COSTA RICA,LIMON,MATINA,
ASALTO,ARMA BLANCA,2024-04-30,18:00:00 - 20:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,NICARAGUA,SAN JOSE,SAN JOSE,
ASALTO,ARMA BLANCA,2024-04-30,12:00:00 - 14:59:59,PERSONA,COBRADOR/MENSAJERO/PAGADOR [PERSONA],Desconocido,DESCONOCIDO,Desconocido,ALAJUELA,ALAJUELA,
ASALTO,ARMA BLANCA,2024-05-08,12:00:00 - 14:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,MUJER,COSTA RICA,SAN JOSE,SAN JOSE,
ASALTO,ARMA BLANCA,2024-05-13,21:00:00 - 23:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,NICARAGUA,GUANACASTE,CANAS,
ASALTO,ARMA BLANCA,2024-05-13,18:00:00 - 20:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,ALEMANIA,HEREDIA,SAN PABLO,
ASALTO,ARMA BLANCA,2024-05-19,03:00:00 - 05:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,PUNTARENAS,PUNTARENAS,
ASALTO,ARMA BLANCA,2024-05-18,03:00:00 - 05:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,SAN JOSE,SAN JOSE,
ASALTO,ARMA BLANCA,2024-05-19,18:00:00 - 20:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,PUNTARENAS,COTO BRUS,
ASALTO,ARMA BLANCA,2024-05-29,06:00:00 - 08:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,SAN JOSE,SAN JOSE,
ASALTO,ARMA BLANCA,2024-06-02,18:00:00 - 20:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,SAN JOSE,ESCAZU,
ASALTO,ARMA BLANCA,2024-05-14,12:00:00 - 14:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,MUJER,COSTA RICA,ALAJUELA,ALAJUELA,
ASALTO,ARMA BLANCA,2024-05-14,12:00:00 - 14:59:59,PERSONA,PEATON [PERSONA],Menor de edad,MUJER,COSTA RICA,ALAJUELA,ALAJUELA,
ASALTO,ARMA BLANCA,2024-05-15,18:00:00 - 20:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,MUJER,NICARAGUA,SAN JOSE,SAN JOSE,
ASALTO,ARMA BLANCA,2024-05-20,06:00:00 - 08:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,MUJER,COSTA RICA,GUANACASTE,CARRILLO,
ASALTO,ARMA BLANCA,2024-04-29,21:00:00 - 23:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,ALAJUELA,ALAJUELA,
ASALTO,ARMA BLANCA,2024-05-22,06:00:00 - 08:59:59,PERSONA,PEATON [PERSONA],Menor de edad,HOMBRE,COSTA RICA,ALAJUELA,UPALA,
ASALTO,ARMA BLANCA,2024-05-23,00:00:00 - 02:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,CARTAGO,TURRIALBA,
ASALTO,ARMA BLANCA,2024-05-28,12:00:00 - 14:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,MUJER,COSTA RICA,SAN JOSE,SAN JOSE,
ASALTO,ARMA BLANCA,2024-05-29,06:00:00 - 08:59:59,PERSONA,OTRO O INDETERMINADO [PERSONA],Adulto Mayor,HOMBRE,COSTA RICA,SAN JOSE,SAN JOSE,
ASALTO,ARMA BLANCA,2024-05-26,18:00:00 - 20:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,NICARAGUA,LIMON,POCOCI,
ASALTO,ARMA BLANCA,2024-06-01,00:00:00 - 02:59:59,PERSONA,PEATON [PERSONA],Desconocido,HOMBRE,Desconocido,SAN JOSE,SAN JOSE,
ASALTO,ARMA BLANCA,2024-06-04,03:00:00 - 05:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,SAN JOSE,SAN JOSE,
ASALTO,ARMA BLANCA,2024-05-26,21:00:00 - 23:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,NICARAGUA,SAN JOSE,MONTES DE OCA,
ASALTO,ARMA BLANCA,2024-05-29,21:00:00 - 23:59:59,PERSONA,USUARIO SERVICIO PUBLICO/PRIVADO [PERSONA],Mayor de edad,HOMBRE,NICARAGUA,GUANACASTE,SANTA CRUZ,
ASALTO,ARMA BLANCA,2024-06-06,18:00:00 - 20:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,SAN JOSE,SAN JOSE,
ASALTO,ARMA BLANCA,2024-06-04,00:00:00 - 02:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,SAN JOSE,SAN JOSE,
ASALTO,ARMA BLANCA,2024-05-17,09:00:00 - 11:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,VENEZUELA,SAN JOSE,SAN JOSE,
ASALTO,ARMA BLANCA,2024-06-07,18:00:00 - 20:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,MUJER,COSTA RICA,SAN JOSE,SAN JOSE,
ASALTO,ARMA BLANCA,2024-06-01,18:00:00 - 20:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,NICARAGUA,SAN JOSE,SAN JOSE,
ASALTO,ARMA BLANCA,2024-06-14,00:00:00 - 02:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,HEREDIA,HEREDIA,
